"","year","state","month","number","date"
"1117",2017,"Bahia","August",1.018,2017-01-01
"1118",1998,"Bahia","September",2.718,1998-01-01
"1119",1999,"Bahia","September",1.275,1999-01-01
"1120",2000,"Bahia","September",2.285,2000-01-01
"1121",2001,"Bahia","September",3.964,2001-01-01
"1122",2002,"Bahia","September",6.439,2002-01-01
"1123",2003,"Bahia","September",8.847,2003-01-01
"1124",2004,"Bahia","September",6.433,2004-01-01
"1125",2005,"Bahia","September",4.066,2005-01-01
"1126",2006,"Bahia","September",3.006,2006-01-01
"1127",2007,"Bahia","September",7.438,2007-01-01
"1128",2008,"Bahia","September",4.837,2008-01-01
"1129",2009,"Bahia","September",3.61,2009-01-01
"1130",2010,"Bahia","September",5.323,2010-01-01
"1131",2011,"Bahia","September",7.086,2011-01-01
"1132",2012,"Bahia","September",7.495,2012-01-01
"1133",2013,"Bahia","September",2.681,2013-01-01
"1134",2014,"Bahia","September",2.604,2014-01-01
"1135",2015,"Bahia","September",7.956,2015-01-01
"1136",2016,"Bahia","September",1.819,2016-01-01
"1137",2017,"Bahia","September",1.791,2017-01-01
"1138",1998,"Bahia","October",1.969,1998-01-01
"1139",1999,"Bahia","October",1.307,1999-01-01
"1140",2000,"Bahia","October",3.35,2000-01-01
"1141",2001,"Bahia","October",1.687,2001-01-01
"1142",2002,"Bahia","October",5.414,2002-01-01
"1143",2003,"Bahia","October",4.264,2003-01-01
"1144",2004,"Bahia","October",4.81,2004-01-01
"1145",2005,"Bahia","October",8.405,2005-01-01
"1146",2006,"Bahia","October",2.079,2006-01-01
"1147",2007,"Bahia","October",4.981,2007-01-01
"1148",2008,"Bahia","October",7.691,2008-01-01
"1149",2009,"Bahia","October",2.552,2009-01-01
"1150",2010,"Bahia","October",5.264,2010-01-01
"1151",2011,"Bahia","October",2.166,2011-01-01
"1152",2012,"Bahia","October",4.607,2012-01-01
"1153",2013,"Bahia","October",1.969,2013-01-01
"1154",2014,"Bahia","October",2.763,2014-01-01
"1155",2015,"Bahia","October",4.989,2015-01-01
"1156",2016,"Bahia","October",1.415,2016-01-01
"1157",2017,"Bahia","October",4.005,2017-01-01
"1158",1998,"Bahia","November",49,1998-01-01
"1159",1999,"Bahia","November",49,1999-01-01
"1160",2000,"Bahia","November",114,2000-01-01
"1161",2001,"Bahia","November",699,2001-01-01
"1162",2002,"Bahia","November",1.02,2002-01-01
"1163",2003,"Bahia","November",533,2003-01-01
"1164",2004,"Bahia","November",1.736,2004-01-01
"1165",2005,"Bahia","November",1.595,2005-01-01
"1166",2006,"Bahia","November",239,2006-01-01
"1167",2007,"Bahia","November",2.126,2007-01-01
"1168",2008,"Bahia","November",3.175,2008-01-01
"1169",2009,"Bahia","November",402,2009-01-01
"1170",2010,"Bahia","November",605,2010-01-01
"1171",2011,"Bahia","November",176,2011-01-01
"1172",2012,"Bahia","November",168,2012-01-01
"1173",2013,"Bahia","November",288,2013-01-01
"1174",2014,"Bahia","November",348,2014-01-01
"1175",2015,"Bahia","November",1.705,2015-01-01
"1176",2016,"Bahia","November",408,2016-01-01
"1177",2017,"Bahia","November",174,2017-01-01
"1178",1998,"Bahia","December",82,1998-01-01
"1179",1999,"Bahia","December",37,1999-01-01
"1180",2000,"Bahia","December",24,2000-01-01
"1181",2001,"Bahia","December",158,2001-01-01
"1182",2002,"Bahia","December",848,2002-01-01
"1183",2003,"Bahia","December",710,2003-01-01
"1184",2004,"Bahia","December",423,2004-01-01
"1185",2005,"Bahia","December",116,2005-01-01
"1186",2006,"Bahia","December",169,2006-01-01
"1187",2007,"Bahia","December",259,2007-01-01
"1188",2008,"Bahia","December",52,2008-01-01
"1189",2009,"Bahia","December",308,2009-01-01
"1190",2010,"Bahia","December",226,2010-01-01
"1191",2011,"Bahia","December",230,2011-01-01
"1192",2012,"Bahia","December",477,2012-01-01
"1193",2013,"Bahia","December",131,2013-01-01
"1194",2014,"Bahia","December",144,2014-01-01
"1195",2015,"Bahia","December",1.408,2015-01-01
"1196",2016,"Bahia","December",164,2016-01-01
"1197",1998,"Ceara","January",0,1998-01-01
"1198",1999,"Ceara","January",47,1999-01-01
"1199",2000,"Ceara","January",1,2000-01-01
"1200",2001,"Ceara","January",11,2001-01-01
"1201",2002,"Ceara","January",33,2002-01-01
"1202",2003,"Ceara","January",264,2003-01-01
"1203",2004,"Ceara","January",143,2004-01-01
"1204",2005,"Ceara","January",384,2005-01-01
"1205",2006,"Ceara","January",211,2006-01-01
"1206",2007,"Ceara","January",304,2007-01-01
"1207",2008,"Ceara","January",166,2008-01-01
"1208",2009,"Ceara","January",347,2009-01-01
"1209",2010,"Ceara","January",288,2010-01-01
"1210",2011,"Ceara","January",32,2011-01-01
"1211",2012,"Ceara","January",273,2012-01-01
"1212",2013,"Ceara","January",103,2013-01-01
"1213",2014,"Ceara","January",115,2014-01-01
"1214",2015,"Ceara","January",207,2015-01-01
"1215",2016,"Ceara","January",100,2016-01-01
"1216",2017,"Ceara","January",91,2017-01-01
"1217",1998,"Ceara","February",0,1998-01-01
"1218",1999,"Ceara","February",16,1999-01-01
"1219",2000,"Ceara","February",6,2000-01-01
"1220",2001,"Ceara","February",0,2001-01-01
"1221",2002,"Ceara","February",75,2002-01-01
"1222",2003,"Ceara","February",9,2003-01-01
"1223",2004,"Ceara","February",5,2004-01-01
"1224",2005,"Ceara","February",25,2005-01-01
"1225",2006,"Ceara","February",23,2006-01-01
"1226",2007,"Ceara","February",3,2007-01-01
"1227",2008,"Ceara","February",12,2008-01-01
"1228",2009,"Ceara","February",8,2009-01-01
"1229",2010,"Ceara","February",63,2010-01-01
"1230",2011,"Ceara","February",2,2011-01-01
"1231",2012,"Ceara","February",41,2012-01-01
"1232",2013,"Ceara","February",49,2013-01-01
"1233",2014,"Ceara","February",18,2014-01-01
"1234",2015,"Ceara","February",25,2015-01-01
"1235",2016,"Ceara","February",13,2016-01-01
"1236",2017,"Ceara","February",9,2017-01-01
"1237",1998,"Ceara","March",0,1998-01-01
"1238",1999,"Ceara","March",30,1999-01-01
"1239",2000,"Ceara","March",9,2000-01-01
"1240",2001,"Ceara","March",0,2001-01-01
"1241",2002,"Ceara","March",17,2002-01-01
"1242",2003,"Ceara","March",3,2003-01-01
"1243",2004,"Ceara","March",1,2004-01-01
"1244",2005,"Ceara","March",5,2005-01-01
"1245",2006,"Ceara","March",3,2006-01-01
"1246",2007,"Ceara","March",2,2007-01-01
"1247",2008,"Ceara","March",2,2008-01-01
"1248",2009,"Ceara","March",3,2009-01-01
"1249",2010,"Ceara","March",40,2010-01-01
"1250",2011,"Ceara","March",6,2011-01-01
"1251",2012,"Ceara","March",10,2012-01-01
"1252",2013,"Ceara","March",17,2013-01-01
"1253",2014,"Ceara","March",6,2014-01-01
"1254",2015,"Ceara","March",20,2015-01-01
"1255",2016,"Ceara","March",4,2016-01-01
"1256",2017,"Ceara","March",4,2017-01-01
"1257",1998,"Ceara","April",0,1998-01-01
"1258",1999,"Ceara","April",6,1999-01-01
"1259",2000,"Ceara","April",15,2000-01-01
"1260",2001,"Ceara","April",2,2001-01-01
"1261",2002,"Ceara","April",5,2002-01-01
"1262",2003,"Ceara","April",3,2003-01-01
"1263",2004,"Ceara","April",2,2004-01-01
"1264",2005,"Ceara","April",4,2005-01-01
"1265",2006,"Ceara","April",1,2006-01-01
"1266",2007,"Ceara","April",1,2007-01-01
"1267",2008,"Ceara","April",0,2008-01-01
"1268",2009,"Ceara","April",0,2009-01-01
"1269",2010,"Ceara","April",7,2010-01-01
"1270",2011,"Ceara","April",1,2011-01-01
"1271",2012,"Ceara","April",2,2012-01-01
"1272",2013,"Ceara","April",4,2013-01-01
"1273",2014,"Ceara","April",4,2014-01-01
"1274",2015,"Ceara","April",3,2015-01-01
"1275",2016,"Ceara","April",10,2016-01-01
"1276",2017,"Ceara","April",6,2017-01-01
"1277",1998,"Ceara","May",0,1998-01-01
"1278",1999,"Ceara","May",5,1999-01-01
"1279",2000,"Ceara","May",7,2000-01-01
"1280",2001,"Ceara","May",81,2001-01-01
"1281",2002,"Ceara","May",10,2002-01-01
"1282",2003,"Ceara","May",0,2003-01-01
"1283",2004,"Ceara","May",3,2004-01-01
"1284",2005,"Ceara","May",1,2005-01-01
"1285",2006,"Ceara","May",0,2006-01-01
"1286",2007,"Ceara","May",0,2007-01-01
"1287",2008,"Ceara","May",0,2008-01-01
"1288",2009,"Ceara","May",0,2009-01-01
"1289",2010,"Ceara","May",2,2010-01-01
"1290",2011,"Ceara","May",0,2011-01-01
"1291",2012,"Ceara","May",19,2012-01-01
"1292",2013,"Ceara","May",4,2013-01-01
"1293",2014,"Ceara","May",4,2014-01-01
"1294",2015,"Ceara","May",17,2015-01-01
"1295",2016,"Ceara","May",8,2016-01-01
"1296",2017,"Ceara","May",9,2017-01-01
"1297",1998,"Ceara","June",1,1998-01-01
"1298",1999,"Ceara","June",16,1999-01-01
"1299",2000,"Ceara","June",16,2000-01-01
"1300",2001,"Ceara","June",38,2001-01-01
"1301",2002,"Ceara","June",13,2002-01-01
"1302",2003,"Ceara","June",2,2003-01-01
"1303",2004,"Ceara","June",1,2004-01-01
"1304",2005,"Ceara","June",6,2005-01-01
"1305",2006,"Ceara","June",0,2006-01-01
"1306",2007,"Ceara","June",1,2007-01-01
"1307",2008,"Ceara","June",1,2008-01-01
"1308",2009,"Ceara","June",0,2009-01-01
"1309",2010,"Ceara","June",3,2010-01-01
"1310",2011,"Ceara","June",5,2011-01-01
"1311",2012,"Ceara","June",28,2012-01-01
"1312",2013,"Ceara","June",5,2013-01-01
"1313",2014,"Ceara","June",19,2014-01-01
"1314",2015,"Ceara","June",22,2015-01-01
"1315",2016,"Ceara","June",45,2016-01-01
"1316",2017,"Ceara","June",23,2017-01-01
"1317",1998,"Ceara","July",76,1998-01-01
"1318",1999,"Ceara","July",83,1999-01-01
"1319",2000,"Ceara","July",18,2000-01-01
"1320",2001,"Ceara","July",146,2001-01-01
"1321",2002,"Ceara","July",12,2002-01-01
"1322",2003,"Ceara","July",14,2003-01-01
"1323",2004,"Ceara","July",16,2004-01-01
"1324",2005,"Ceara","July",14,2005-01-01
"1325",2006,"Ceara","July",1,2006-01-01
"1326",2007,"Ceara","July",11,2007-01-01
"1327",2008,"Ceara","July",3,2008-01-01
"1328",2009,"Ceara","July",7,2009-01-01
"1329",2010,"Ceara","July",44,2010-01-01
"1330",2011,"Ceara","July",18,2011-01-01
"1331",2012,"Ceara","July",50,2012-01-01
"1332",2013,"Ceara","July",4,2013-01-01
"1333",2014,"Ceara","July",47,2014-01-01
"1334",2015,"Ceara","July",25,2015-01-01
"1335",2016,"Ceara","July",124,2016-01-01
"1336",2017,"Ceara","July",26,2017-01-01
"1337",1998,"Ceara","August",93,1998-01-01
"1338",1999,"Ceara","August",131,1999-01-01
"1339",2000,"Ceara","August",79,2000-01-01
"1340",2001,"Ceara","August",219,2001-01-01
"1341",2002,"Ceara","August",111,2002-01-01
"1342",2003,"Ceara","August",109,2003-01-01
"1343",2004,"Ceara","August",61,2004-01-01
"1344",2005,"Ceara","August",51,2005-01-01
"1345",2006,"Ceara","August",50,2006-01-01
"1346",2007,"Ceara","August",182,2007-01-01
"1347",2008,"Ceara","August",32,2008-01-01
"1348",2009,"Ceara","August",26,2009-01-01
"1349",2010,"Ceara","August",202,2010-01-01
"1350",2011,"Ceara","August",53,2011-01-01
"1351",2012,"Ceara","August",278,2012-01-01
"1352",2013,"Ceara","August",32,2013-01-01
"1353",2014,"Ceara","August",155,2014-01-01
"1354",2015,"Ceara","August",127,2015-01-01
"1355",2016,"Ceara","August",293,2016-01-01
"1356",2017,"Ceara","August",121,2017-01-01
"1357",1998,"Ceara","September",590,1998-01-01
"1358",1999,"Ceara","September",124,1999-01-01
"1359",2000,"Ceara","September",127,2000-01-01
"1360",2001,"Ceara","September",801,2001-01-01
"1361",2002,"Ceara","September",172,2002-01-01
"1362",2003,"Ceara","September",384,2003-01-01
"1363",2004,"Ceara","September",144,2004-01-01
"1364",2005,"Ceara","September",185,2005-01-01
"1365",2006,"Ceara","September",237,2006-01-01
"1366",2007,"Ceara","September",241,2007-01-01
"1367",2008,"Ceara","September",177,2008-01-01
"1368",2009,"Ceara","September",101,2009-01-01
"1369",2010,"Ceara","September",357,2010-01-01
"1370",2011,"Ceara","September",239,2011-01-01
"1371",2012,"Ceara","September",609,2012-01-01
"1372",2013,"Ceara","September",177,2013-01-01
"1373",2014,"Ceara","September",155,2014-01-01
"1374",2015,"Ceara","September",214,2015-01-01
"1375",2016,"Ceara","September",370,2016-01-01
"1376",2017,"Ceara","September",505,2017-01-01
"1377",1998,"Ceara","October",1.014,1998-01-01
"1378",1999,"Ceara","October",309,1999-01-01
"1379",2000,"Ceara","October",875,2000-01-01
"1380",2001,"Ceara","October",2.045,2001-01-01
"1381",2002,"Ceara","October",1.606,2002-01-01
"1382",2003,"Ceara","October",1.761,2003-01-01
"1383",2004,"Ceara","October",1.217,2004-01-01
"1384",2005,"Ceara","October",1.378,2005-01-01
"1385",2006,"Ceara","October",581,2006-01-01
"1386",2007,"Ceara","October",964,2007-01-01
"1387",2008,"Ceara","October",816,2008-01-01
"1388",2009,"Ceara","October",435,2009-01-01
"1389",2010,"Ceara","October",502,2010-01-01
"1390",2011,"Ceara","October",415,2011-01-01
"1391",2012,"Ceara","October",1.104,2012-01-01
"1392",2013,"Ceara","October",466,2013-01-01
"1393",2014,"Ceara","October",517,2014-01-01
"1394",2015,"Ceara","October",658,2015-01-01
"1395",2016,"Ceara","October",1.31,2016-01-01
"1396",2017,"Ceara","October",949,2017-01-01
"1397",1998,"Ceara","November",575,1998-01-01
"1398",1999,"Ceara","November",524,1999-01-01
"1399",2000,"Ceara","November",669,2000-01-01
"1400",2001,"Ceara","November",2.456,2001-01-01
"1401",2002,"Ceara","November",2.715,2002-01-01
"1402",2003,"Ceara","November",3.327,2003-01-01
"1403",2004,"Ceara","November",2.9,2004-01-01
"1404",2005,"Ceara","November",2.483,2005-01-01
"1405",2006,"Ceara","November",1.012,2006-01-01
"1406",2007,"Ceara","November",1.443,2007-01-01
"1407",2008,"Ceara","November",1.753,2008-01-01
"1408",2009,"Ceara","November",1.653,2009-01-01
"1409",2010,"Ceara","November",1.652,2010-01-01
"1410",2011,"Ceara","November",1.561,2011-01-01
"1411",2012,"Ceara","November",995,2012-01-01
"1412",2013,"Ceara","November",1.081,2013-01-01
"1413",2014,"Ceara","November",829,2014-01-01
"1414",2015,"Ceara","November",1.081,2015-01-01
"1415",2016,"Ceara","November",1.328,2016-01-01
"1416",2017,"Ceara","November",812,2017-01-01
"1417",1998,"Ceara","December",276,1998-01-01
"1418",1999,"Ceara","December",397,1999-01-01
"1419",2000,"Ceara","December",389,2000-01-01
"1420",2001,"Ceara","December",545,2001-01-01
"1421",2002,"Ceara","December",1.787,2002-01-01
"1422",2003,"Ceara","December",2.436,2003-01-01
"1423",2004,"Ceara","December",3.158,2004-01-01
"1424",2005,"Ceara","December",1.36,2005-01-01
"1425",2006,"Ceara","December",1.161,2006-01-01
"1426",2007,"Ceara","December",1.177,2007-01-01
"1427",2008,"Ceara","December",1.655,2008-01-01
"1428",2009,"Ceara","December",1.987,2009-01-01
"1429",2010,"Ceara","December",578,2010-01-01
"1430",2011,"Ceara","December",1.441,2011-01-01
"1431",2012,"Ceara","December",631,2012-01-01
"1432",2013,"Ceara","December",956,2013-01-01
"1433",2014,"Ceara","December",643,2014-01-01
"1434",2015,"Ceara","December",1.021,2015-01-01
"1435",2016,"Ceara","December",819,2016-01-01
"1436",1998,"Distrito Federal","January",0,1998-01-01
"1437",1999,"Distrito Federal","January",0,1999-01-01
"1438",2000,"Distrito Federal","January",0,2000-01-01
"1439",2001,"Distrito Federal","January",0,2001-01-01
"1440",2002,"Distrito Federal","January",0,2002-01-01
"1441",2003,"Distrito Federal","January",0,2003-01-01
"1442",2004,"Distrito Federal","January",0,2004-01-01
"1443",2005,"Distrito Federal","January",0,2005-01-01
"1444",2006,"Distrito Federal","January",0,2006-01-01
"1445",2007,"Distrito Federal","January",0,2007-01-01
"1446",2008,"Distrito Federal","January",0,2008-01-01
"1447",2009,"Distrito Federal","January",1,2009-01-01
"1448",2010,"Distrito Federal","January",2,2010-01-01
"1449",2011,"Distrito Federal","January",2,2011-01-01
"1450",2012,"Distrito Federal","January",0,2012-01-01
"1451",2013,"Distrito Federal","January",0,2013-01-01
"1452",2014,"Distrito Federal","January",0,2014-01-01
"1453",2015,"Distrito Federal","January",1,2015-01-01
"1454",2016,"Distrito Federal","January",1,2016-01-01
"1455",2017,"Distrito Federal","January",1,2017-01-01
"1456",1998,"Distrito Federal","February",0,1998-01-01
"1457",1999,"Distrito Federal","February",2,1999-01-01
"1458",2000,"Distrito Federal","February",0,2000-01-01
"1459",2001,"Distrito Federal","February",1,2001-01-01
"1460",2002,"Distrito Federal","February",0,2002-01-01
"1461",2003,"Distrito Federal","February",1,2003-01-01
"1462",2004,"Distrito Federal","February",0,2004-01-01
"1463",2005,"Distrito Federal","February",0,2005-01-01
"1464",2006,"Distrito Federal","February",0,2006-01-01
"1465",2007,"Distrito Federal","February",0,2007-01-01
"1466",2008,"Distrito Federal","February",0,2008-01-01
"1467",2009,"Distrito Federal","February",0,2009-01-01
"1468",2010,"Distrito Federal","February",4,2010-01-01
"1469",2011,"Distrito Federal","February",1,2011-01-01
"1470",2012,"Distrito Federal","February",0,2012-01-01
"1471",2013,"Distrito Federal","February",1,2013-01-01
"1472",2014,"Distrito Federal","February",1,2014-01-01
"1473",2015,"Distrito Federal","February",0,2015-01-01
"1474",2016,"Distrito Federal","February",2,2016-01-01
"1475",2017,"Distrito Federal","February",0,2017-01-01
"1476",1998,"Distrito Federal","March",0,1998-01-01
"1477",1999,"Distrito Federal","March",0,1999-01-01
"1478",2000,"Distrito Federal","March",0,2000-01-01
"1479",2001,"Distrito Federal","March",0,2001-01-01
"1480",2002,"Distrito Federal","March",0,2002-01-01
"1481",2003,"Distrito Federal","March",0,2003-01-01
"1482",2004,"Distrito Federal","March",0,2004-01-01
"1483",2005,"Distrito Federal","March",0,2005-01-01
"1484",2006,"Distrito Federal","March",0,2006-01-01
"1485",2007,"Distrito Federal","March",1,2007-01-01
"1486",2008,"Distrito Federal","March",2,2008-01-01
"1487",2009,"Distrito Federal","March",0,2009-01-01
"1488",2010,"Distrito Federal","March",0,2010-01-01
"1489",2011,"Distrito Federal","March",0,2011-01-01
"1490",2012,"Distrito Federal","March",0,2012-01-01
"1491",2013,"Distrito Federal","March",1,2013-01-01
"1492",2014,"Distrito Federal","March",1,2014-01-01
"1493",2015,"Distrito Federal","March",0,2015-01-01
"1494",2016,"Distrito Federal","March",1,2016-01-01
"1495",2017,"Distrito Federal","March",0,2017-01-01
"1496",1998,"Distrito Federal","April",0,1998-01-01
"1497",1999,"Distrito Federal","April",0,1999-01-01
"1498",2000,"Distrito Federal","April",0,2000-01-01
"1499",2001,"Distrito Federal","April",0,2001-01-01
"1500",2002,"Distrito Federal","April",1,2002-01-01
"1501",2003,"Distrito Federal","April",0,2003-01-01
"1502",2004,"Distrito Federal","April",1,2004-01-01
"1503",2005,"Distrito Federal","April",0,2005-01-01
"1504",2006,"Distrito Federal","April",0,2006-01-01
"1505",2007,"Distrito Federal","April",0,2007-01-01
"1506",2008,"Distrito Federal","April",1,2008-01-01
"1507",2009,"Distrito Federal","April",0,2009-01-01
"1508",2010,"Distrito Federal","April",8,2010-01-01
"1509",2011,"Distrito Federal","April",1,2011-01-01
"1510",2012,"Distrito Federal","April",4,2012-01-01
"1511",2013,"Distrito Federal","April",1,2013-01-01
"1512",2014,"Distrito Federal","April",2,2014-01-01
"1513",2015,"Distrito Federal","April",0,2015-01-01
"1514",2016,"Distrito Federal","April",5,2016-01-01
"1515",2017,"Distrito Federal","April",1,2017-01-01
"1516",1998,"Distrito Federal","May",0,1998-01-01
"1517",1999,"Distrito Federal","May",0,1999-01-01
"1518",2000,"Distrito Federal","May",2,2000-01-01
"1519",2001,"Distrito Federal","May",0,2001-01-01
"1520",2002,"Distrito Federal","May",1,2002-01-01
"1521",2003,"Distrito Federal","May",0,2003-01-01
"1522",2004,"Distrito Federal","May",9,2004-01-01
"1523",2005,"Distrito Federal","May",2,2005-01-01
"1524",2006,"Distrito Federal","May",3,2006-01-01
"1525",2007,"Distrito Federal","May",4,2007-01-01
"1526",2008,"Distrito Federal","May",6,2008-01-01
"1527",2009,"Distrito Federal","May",9,2009-01-01
"1528",2010,"Distrito Federal","May",23,2010-01-01
"1529",2011,"Distrito Federal","May",3,2011-01-01
"1530",2012,"Distrito Federal","May",0,2012-01-01
"1531",2013,"Distrito Federal","May",2,2013-01-01
"1532",2014,"Distrito Federal","May",9,2014-01-01
"1533",2015,"Distrito Federal","May",2,2015-01-01
"1534",2016,"Distrito Federal","May",15,2016-01-01
"1535",2017,"Distrito Federal","May",6,2017-01-01
"1536",1998,"Distrito Federal","June",2,1998-01-01
"1537",1999,"Distrito Federal","June",3,1999-01-01
"1538",2000,"Distrito Federal","June",1,2000-01-01
"1539",2001,"Distrito Federal","June",3,2001-01-01
"1540",2002,"Distrito Federal","June",7,2002-01-01
"1541",2003,"Distrito Federal","June",11,2003-01-01
"1542",2004,"Distrito Federal","June",6,2004-01-01
"1543",2005,"Distrito Federal","June",3,2005-01-01
"1544",2006,"Distrito Federal","June",2,2006-01-01
"1545",2007,"Distrito Federal","June",21,2007-01-01
"1546",2008,"Distrito Federal","June",0,2008-01-01
"1547",2009,"Distrito Federal","June",4,2009-01-01
"1548",2010,"Distrito Federal","June",21,2010-01-01
"1549",2011,"Distrito Federal","June",18,2011-01-01
"1550",2012,"Distrito Federal","June",6,2012-01-01
"1551",2013,"Distrito Federal","June",4,2013-01-01
"1552",2014,"Distrito Federal","June",6,2014-01-01
"1553",2015,"Distrito Federal","June",1,2015-01-01
"1554",2016,"Distrito Federal","June",42,2016-01-01
"1555",2017,"Distrito Federal","June",23,2017-01-01
"1556",1998,"Distrito Federal","July",17,1998-01-01
"1557",1999,"Distrito Federal","July",4,1999-01-01
"1558",2000,"Distrito Federal","July",15,2000-01-01
"1559",2001,"Distrito Federal","July",22,2001-01-01
"1560",2002,"Distrito Federal","July",33,2002-01-01
"1561",2003,"Distrito Federal","July",19,2003-01-01
"1562",2004,"Distrito Federal","July",37,2004-01-01
"1563",2005,"Distrito Federal","July",24,2005-01-01
"1564",2006,"Distrito Federal","July",10,2006-01-01
"1565",2007,"Distrito Federal","July",25,2007-01-01
"1566",2008,"Distrito Federal","July",12,2008-01-01
"1567",2009,"Distrito Federal","July",33,2009-01-01
"1568",2010,"Distrito Federal","July",85,2010-01-01
"1569",2011,"Distrito Federal","July",53,2011-01-01
"1570",2012,"Distrito Federal","July",29,2012-01-01
"1571",2013,"Distrito Federal","July",22,2013-01-01
"1572",2014,"Distrito Federal","July",27,2014-01-01
"1573",2015,"Distrito Federal","July",15,2015-01-01
"1574",2016,"Distrito Federal","July",79,2016-01-01
"1575",2017,"Distrito Federal","July",44,2017-01-01
"1576",1998,"Distrito Federal","August",48,1998-01-01
"1577",1999,"Distrito Federal","August",16,1999-01-01
"1578",2000,"Distrito Federal","August",9,2000-01-01
"1579",2001,"Distrito Federal","August",25,2001-01-01
"1580",2002,"Distrito Federal","August",53,2002-01-01
"1581",2003,"Distrito Federal","August",36,2003-01-01
"1582",2004,"Distrito Federal","August",108,2004-01-01
"1583",2005,"Distrito Federal","August",20,2005-01-01
"1584",2006,"Distrito Federal","August",40,2006-01-01
"1585",2007,"Distrito Federal","August",137,2007-01-01
"1586",2008,"Distrito Federal","August",30,2008-01-01
"1587",2009,"Distrito Federal","August",37,2009-01-01
"1588",2010,"Distrito Federal","August",159,2010-01-01
"1589",2011,"Distrito Federal","August",61,2011-01-01
"1590",2012,"Distrito Federal","August",55,2012-01-01
"1591",2013,"Distrito Federal","August",34,2013-01-01
"1592",2014,"Distrito Federal","August",99,2014-01-01
"1593",2015,"Distrito Federal","August",53,2015-01-01
"1594",2016,"Distrito Federal","August",29,2016-01-01
"1595",2017,"Distrito Federal","August",147,2017-01-01
"1596",1998,"Distrito Federal","September",33,1998-01-01
"1597",1999,"Distrito Federal","September",12,1999-01-01
"1598",2000,"Distrito Federal","September",3,2000-01-01
"1599",2001,"Distrito Federal","September",12,2001-01-01
"1600",2002,"Distrito Federal","September",33,2002-01-01
"1601",2003,"Distrito Federal","September",17,2003-01-01
"1602",2004,"Distrito Federal","September",100,2004-01-01
"1603",2005,"Distrito Federal","September",23,2005-01-01
"1604",2006,"Distrito Federal","September",20,2006-01-01
"1605",2007,"Distrito Federal","September",73,2007-01-01
"1606",2008,"Distrito Federal","September",54,2008-01-01
"1607",2009,"Distrito Federal","September",5,2009-01-01
"1608",2010,"Distrito Federal","September",196,2010-01-01
"1609",2011,"Distrito Federal","September",133,2011-01-01
"1610",2012,"Distrito Federal","September",64,2012-01-01
"1611",2013,"Distrito Federal","September",31,2013-01-01
"1612",2014,"Distrito Federal","September",72,2014-01-01
"1613",2015,"Distrito Federal","September",76,2015-01-01
"1614",2016,"Distrito Federal","September",58,2016-01-01
"1615",2017,"Distrito Federal","September",122,2017-01-01
"1616",1998,"Distrito Federal","October",3,1998-01-01
"1617",1999,"Distrito Federal","October",8,1999-01-01
"1618",2000,"Distrito Federal","October",18,2000-01-01
"1619",2001,"Distrito Federal","October",0,2001-01-01
"1620",2002,"Distrito Federal","October",19,2002-01-01
"1621",2003,"Distrito Federal","October",12,2003-01-01
"1622",2004,"Distrito Federal","October",18,2004-01-01
"1623",2005,"Distrito Federal","October",18,2005-01-01
"1624",2006,"Distrito Federal","October",1,2006-01-01
"1625",2007,"Distrito Federal","October",13,2007-01-01
"1626",2008,"Distrito Federal","October",6,2008-01-01
"1627",2009,"Distrito Federal","October",3,2009-01-01
"1628",2010,"Distrito Federal","October",6,2010-01-01
"1629",2011,"Distrito Federal","October",0,2011-01-01
"1630",2012,"Distrito Federal","October",15,2012-01-01
"1631",2013,"Distrito Federal","October",3,2013-01-01
"1632",2014,"Distrito Federal","October",34,2014-01-01
"1633",2015,"Distrito Federal","October",21,2015-01-01
"1634",2016,"Distrito Federal","October",9,2016-01-01
"1635",2017,"Distrito Federal","October",66,2017-01-01
"1636",1998,"Distrito Federal","November",0,1998-01-01
"1637",1999,"Distrito Federal","November",1,1999-01-01
"1638",2000,"Distrito Federal","November",0,2000-01-01
"1639",2001,"Distrito Federal","November",0,2001-01-01
"1640",2002,"Distrito Federal","November",1,2002-01-01
"1641",2003,"Distrito Federal","November",0,2003-01-01
"1642",2004,"Distrito Federal","November",0,2004-01-01
"1643",2005,"Distrito Federal","November",2,2005-01-01
"1644",2006,"Distrito Federal","November",0,2006-01-01
"1645",2007,"Distrito Federal","November",0,2007-01-01
"1646",2008,"Distrito Federal","November",4,2008-01-01
"1647",2009,"Distrito Federal","November",0,2009-01-01
"1648",2010,"Distrito Federal","November",0,2010-01-01
"1649",2011,"Distrito Federal","November",1,2011-01-01
"1650",2012,"Distrito Federal","November",0,2012-01-01
"1651",2013,"Distrito Federal","November",0,2013-01-01
"1652",2014,"Distrito Federal","November",0,2014-01-01
"1653",2015,"Distrito Federal","November",3,2015-01-01
"1654",2016,"Distrito Federal","November",1,2016-01-01
"1655",2017,"Distrito Federal","November",0,2017-01-01
"1656",1998,"Distrito Federal","December",0,1998-01-01
"1657",1999,"Distrito Federal","December",0,1999-01-01
"1658",2000,"Distrito Federal","December",0,2000-01-01
"1659",2001,"Distrito Federal","December",1,2001-01-01
"1660",2002,"Distrito Federal","December",1,2002-01-01
"1661",2003,"Distrito Federal","December",0,2003-01-01
"1662",2004,"Distrito Federal","December",0,2004-01-01
"1663",2005,"Distrito Federal","December",0,2005-01-01
