"","year","state","month","number","date"
"145",2002,"Acre","August",728,2002-01-01
"146",2003,"Acre","August",1.976,2003-01-01
"147",2004,"Acre","August",645,2004-01-01
"148",2005,"Acre","August",4.198,2005-01-01
"149",2006,"Acre","August",839,2006-01-01
"150",2007,"Acre","August",960,2007-01-01
"151",2008,"Acre","August",445,2008-01-01
"152",2009,"Acre","August",194,2009-01-01
"153",2010,"Acre","August",1.682,2010-01-01
"154",2011,"Acre","August",425,2011-01-01
"155",2012,"Acre","August",739,2012-01-01
"156",2013,"Acre","August",679,2013-01-01
"157",2014,"Acre","August",1.1,2014-01-01
"158",2015,"Acre","August",1.397,2015-01-01
"159",2016,"Acre","August",2.188,2016-01-01
"160",2017,"Acre","August",1.493,2017-01-01
"161",1998,"Acre","September",509,1998-01-01
"162",1999,"Acre","September",209,1999-01-01
"163",2000,"Acre","September",265,2000-01-01
"164",2001,"Acre","September",290,2001-01-01
"165",2002,"Acre","September",1.949,2002-01-01
"166",2003,"Acre","September",3.942,2003-01-01
"167",2004,"Acre","September",1.978,2004-01-01
"168",2005,"Acre","September",4.253,2005-01-01
"169",2006,"Acre","September",2.37,2006-01-01
"170",2007,"Acre","September",2.08,2007-01-01
"171",2008,"Acre","September",1.666,2008-01-01
"172",2009,"Acre","September",1.265,2009-01-01
"173",2010,"Acre","September",2.531,2010-01-01
"174",2011,"Acre","September",1.204,2011-01-01
"175",2012,"Acre","September",1.996,2012-01-01
"176",2013,"Acre","September",2.136,2013-01-01
"177",2014,"Acre","September",2.175,2014-01-01
"178",2015,"Acre","September",2.928,2015-01-01
"179",2016,"Acre","September",3.586,2016-01-01
"180",2017,"Acre","September",3.429,2017-01-01
"181",1998,"Acre","October",44,1998-01-01
"182",1999,"Acre","October",60,1999-01-01
"183",2000,"Acre","October",18,2000-01-01
"184",2001,"Acre","October",137,2001-01-01
"185",2002,"Acre","October",687,2002-01-01
"186",2003,"Acre","October",740,2003-01-01
"187",2004,"Acre","October",461,2004-01-01
"188",2005,"Acre","October",547,2005-01-01
"189",2006,"Acre","October",316,2006-01-01
"190",2007,"Acre","October",203,2007-01-01
"191",2008,"Acre","October",652,2008-01-01
"192",2009,"Acre","October",565,2009-01-01
"193",2010,"Acre","October",292,2010-01-01
"194",2011,"Acre","October",97,2011-01-01
